titles,abstracts,terms,urls
"A Survey on Deep Learning for Polyp Segmentation: Techniques, Challenges and Future Trends","Early detection and assessment of polyps play a crucial role in the
prevention and treatment of colorectal cancer (CRC). Polyp segmentation
provides an effective solution to assist clinicians in accurately locating and
segmenting polyp regions. In the past, people often relied on manually
extracted lower-level features such as color, texture, and shape, which often
had issues capturing global context and lacked robustness to complex scenarios.
With the advent of deep learning, more and more outstanding medical image
segmentation algorithms based on deep learning networks have emerged, making
significant progress in this field. This paper provides a comprehensive review
of polyp segmentation algorithms. We first review some traditional algorithms
based on manually extracted features and deep segmentation algorithms, then
detail benchmark datasets related to the topic. Specifically, we carry out a
comprehensive evaluation of recent deep learning models and results based on
polyp sizes, considering the pain points of research topics and differences in
network structures. Finally, we discuss the challenges of polyp segmentation
and future trends in this field. The models, benchmark datasets, and source
code links we collected are all published at
https://github.com/taozh2017/Awesome-Polyp-Segmentation.",['cs.CV'],http://arxiv.org/abs/2311.18373v3
A Multi-Scale Feature Extraction and Fusion Deep Learning Method for Classification of Wheat Diseases,"Wheat is an important source of dietary fiber and protein that is negatively
impacted by a number of risks to its growth. The difficulty of identifying and
classifying wheat diseases is discussed with an emphasis on wheat loose smut,
leaf rust, and crown and root rot. Addressing conditions like crown and root
rot, this study introduces an innovative approach that integrates multi-scale
feature extraction with advanced image segmentation techniques to enhance
classification accuracy. The proposed method uses neural network models
Xception, Inception V3, and ResNet 50 to train on a large wheat disease
classification dataset 2020 in conjunction with an ensemble of machine vision
classifiers, including voting and stacking. The study shows that the suggested
methodology has a superior accuracy of 99.75% in the classification of wheat
diseases when compared to current state-of-the-art approaches. A deep learning
ensemble model Xception showed the highest accuracy.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2501.09938v1
"Image Segmentation with transformers: An Overview, Challenges and Future","Image segmentation, a key task in computer vision, has traditionally relied
on convolutional neural networks (CNNs), yet these models struggle with
capturing complex spatial dependencies, objects with varying scales, need for
manually crafted architecture components and contextual information. This paper
explores the shortcomings of CNN-based models and the shift towards transformer
architectures -to overcome those limitations. This work reviews
state-of-the-art transformer-based segmentation models, addressing
segmentation-specific challenges and their solutions. The paper discusses
current challenges in transformer-based segmentation and outlines promising
future trends, such as lightweight architectures and enhanced data efficiency.
This survey serves as a guide for understanding the impact of transformers in
advancing segmentation capabilities and overcoming the limitations of
traditional models.",['cs.CV'],http://arxiv.org/abs/2501.09372v1
Shape-Based Single Object Classification Using Ensemble Method Classifiers,"Nowadays, more and more images are available. Annotation and retrieval of the
images pose classification problems, where each class is defined as the group
of database images labelled with a common semantic label. Various systems have
been proposed for content-based retrieval, as well as for image classification
and indexing. In this paper, a hierarchical classification framework has been
proposed for bridging the semantic gap effectively and achieving multi-category
image classification. A well known pre-processing and post-processing method
was used and applied to three problems; image segmentation, object
identification and image classification. The method was applied to classify
single object images from Amazon and Google datasets. The classification was
tested for four different classifiers; BayesNetwork (BN), Random Forest (RF),
Bagging and Vote. The estimated classification accuracies ranged from 20% to
99% (using 10-fold cross validation). The Bagging classifier presents the best
performance, followed by the Random Forest classifier.","['cs.CV', 'cs.AI', 'cs.CL']",http://arxiv.org/abs/2501.09311v1
Few-Shot Adaptation of Training-Free Foundation Model for 3D Medical Image Segmentation,"Vision foundation models have achieved remarkable progress across various
image analysis tasks. In the image segmentation task, foundation models like
the Segment Anything Model (SAM) enable generalizable zero-shot segmentation
through user-provided prompts. However, SAM primarily trained on natural
images, lacks the domain-specific expertise of medical imaging. This limitation
poses challenges when applying SAM to medical image segmentation, including the
need for extensive fine-tuning on specialized medical datasets and a dependency
on manual prompts, which are both labor-intensive and require intervention from
medical experts.
  This work introduces the Few-shot Adaptation of Training-frEe SAM (FATE-SAM),
a novel method designed to adapt the advanced Segment Anything Model 2 (SAM2)
for 3D medical image segmentation. FATE-SAM reassembles pre-trained modules of
SAM2 to enable few-shot adaptation, leveraging a small number of support
examples to capture anatomical knowledge and perform prompt-free segmentation,
without requiring model fine-tuning. To handle the volumetric nature of medical
images, we incorporate a Volumetric Consistency mechanism that enhances spatial
coherence across 3D slices. We evaluate FATE-SAM on multiple medical imaging
datasets and compare it with supervised learning methods, zero-shot SAM
approaches, and fine-tuned medical SAM methods. Results show that FATE-SAM
delivers robust and accurate segmentation while eliminating the need for large
annotated datasets and expert intervention. FATE-SAM provides a practical,
efficient solution for medical image segmentation, making it more accessible
for clinical applications.",['cs.CV'],http://arxiv.org/abs/2501.09138v1
Densely Connected Parameter-Efficient Tuning for Referring Image Segmentation,"In the domain of computer vision, Parameter-Efficient Tuning (PET) is
increasingly replacing the traditional paradigm of pre-training followed by
full fine-tuning. PET is particularly favored for its effectiveness in large
foundation models, as it streamlines transfer learning costs and optimizes
hardware utilization. However, the current PET methods are mainly designed for
single-modal optimization. While some pioneering studies have undertaken
preliminary explorations, they still remain at the level of aligned encoders
(e.g., CLIP) and lack exploration of misaligned encoders. These methods show
sub-optimal performance with misaligned encoders, as they fail to effectively
align the multimodal features during fine-tuning. In this paper, we introduce
DETRIS, a parameter-efficient tuning framework designed to enhance low-rank
visual feature propagation by establishing dense interconnections between each
layer and all preceding layers, which enables effective cross-modal feature
interaction and adaptation to misaligned encoders. We also suggest using text
adapters to improve textual features. Our simple yet efficient approach greatly
surpasses state-of-the-art methods with 0.9% to 1.8% backbone parameter
updates, evaluated on challenging benchmarks. Our project is available at
\url{https://github.com/jiaqihuang01/DETRIS}.",['cs.CV'],http://arxiv.org/abs/2501.08580v1
Adaptive Noise-Tolerant Network for Image Segmentation,"Unlike image classification and annotation, for which deep network models
have achieved dominating superior performances compared to traditional computer
vision algorithms, deep learning for automatic image segmentation still faces
critical challenges. One of such hurdles is to obtain ground-truth
segmentations as the training labels for deep network training. Especially when
we study biomedical images, such as histopathological images (histo-images), it
is unrealistic to ask for manual segmentation labels as the ground truth for
training due to the fine image resolution as well as the large image size and
complexity. In this paper, instead of relying on clean segmentation labels, we
study whether and how integrating imperfect or noisy segmentation results from
off-the-shelf segmentation algorithms may help achieve better segmentation
results through a new Adaptive Noise-Tolerant Network (ANTN) model. We extend
the noisy label deep learning to image segmentation with two novel aspects: (1)
multiple noisy labels can be integrated into one deep learning model; (2) noisy
segmentation modeling, including probabilistic parameters, is adaptive,
depending on the given testing image appearance. Implementation of the new ANTN
model on both the synthetic data and real-world histo-images demonstrates its
effectiveness and superiority over off-the-shelf and other existing
deep-learning-based image segmentation algorithms.",['cs.CV'],http://arxiv.org/abs/2501.07163v2
AI Driven Water Segmentation with deep learning models for Enhanced Flood Monitoring,"Flooding is a major natural hazard causing significant fatalities and
economic losses annually, with increasing frequency due to climate change.
Rapid and accurate flood detection and monitoring are crucial for mitigating
these impacts. This study compares the performance of three deep learning
models UNet, ResNet, and DeepLabv3 for pixelwise water segmentation to aid in
flood detection, utilizing images from drones, in field observations, and
social media. This study involves creating a new dataset that augments
wellknown benchmark datasets with flood-specific images, enhancing the
robustness of the models. The UNet, ResNet, and DeepLab v3 architectures are
tested to determine their effectiveness in various environmental conditions and
geographical locations, and the strengths and limitations of each model are
also discussed here, providing insights into their applicability in different
scenarios by predicting image segmentation masks. This fully automated approach
allows these models to isolate flooded areas in images, significantly reducing
processing time compared to traditional semi-automated methods. The outcome of
this study is to predict segmented masks for each image effected by a flood
disaster and the validation accuracy of these models. This methodology
facilitates timely and continuous flood monitoring, providing vital data for
emergency response teams to reduce loss of life and economic damages. It offers
a significant reduction in the time required to generate flood maps, cutting
down the manual processing time. Additionally, we present avenues for future
research, including the integration of multimodal data sources and the
development of robust deep learning architectures tailored specifically for
flood detection tasks. Overall, our work contributes to the advancement of
flood management strategies through innovative use of deep learning
technologies.","['cs.CV', 'cs.AI', 'cs.LG', 'eess.IV']",http://arxiv.org/abs/2501.08266v1
Knowledge Transfer and Domain Adaptation for Fine-Grained Remote Sensing Image Segmentation,"Fine-grained remote sensing image segmentation is essential for accurately
identifying detailed objects in remote sensing images. Recently, vision
transformer models (VTMs) pre-trained on large-scale datasets have demonstrated
strong zero-shot generalization. However, directly applying them to specific
tasks may lead to domain shift. We introduce a novel end-to-end learning
paradigm combining knowledge guidance with domain refinement to enhance
performance. We present two key components: the Feature Alignment Module (FAM)
and the Feature Modulation Module (FMM). FAM aligns features from a CNN-based
backbone with those from the pretrained VTM's encoder using channel
transformation and spatial interpolation, and transfers knowledge via KL
divergence and L2 normalization constraint. FMM further adapts the knowledge to
the specific domain to address domain shift. We also introduce a fine-grained
grass segmentation dataset and demonstrate, through experiments on two
datasets, that our method achieves a significant improvement of 2.57 mIoU on
the grass dataset and 3.73 mIoU on the cloud dataset. The results highlight the
potential of combining knowledge transfer and domain adaptation to overcome
domain-related challenges and data limitations. The project page is available
at https://xavierjiezou.github.io/KTDA/.",['cs.CV'],http://arxiv.org/abs/2412.06664v3
FedSemiDG: Domain Generalized Federated Semi-supervised Medical Image Segmentation,"Medical image segmentation is challenging due to the diversity of medical
images and the lack of labeled data, which motivates recent developments in
federated semi-supervised learning (FSSL) to leverage a large amount of
unlabeled data from multiple centers for model training without sharing raw
data. However, what remains under-explored in FSSL is the domain shift problem
which may cause suboptimal model aggregation and low effectivity of the
utilization of unlabeled data, eventually leading to unsatisfactory performance
in unseen domains. In this paper, we explore this previously ignored scenario,
namely domain generalized federated semi-supervised learning (FedSemiDG), which
aims to learn a model in a distributed manner from multiple domains with
limited labeled data and abundant unlabeled data such that the model can
generalize well to unseen domains. We present a novel framework, Federated
Generalization-Aware SemiSupervised Learning (FGASL), to address the challenges
in FedSemiDG by effectively tackling critical issues at both global and local
levels. Globally, we introduce Generalization-Aware Aggregation (GAA),
assigning adaptive weights to local models based on their generalization
performance. Locally, we use a Dual-Teacher Adaptive Pseudo Label Refinement
(DR) strategy to combine global and domain-specific knowledge, generating more
reliable pseudo labels. Additionally, Perturbation-Invariant Alignment (PIA)
enforces feature consistency under perturbations, promoting domain-invariant
learning. Extensive experiments on three medical segmentation tasks (cardiac
MRI, spine MRI and bladder cancer MRI) demonstrate that our method
significantly outperforms state-of-the-art FSSL and domain generalization
approaches, achieving robust generalization on unseen domains.",['cs.CV'],http://arxiv.org/abs/2501.07378v1
